id,name,show_id,count,percent
241,André Øvredal,80022613,1,0.014660606949127693
242,Andrés Beltrán,80220422,1,0.014660606949127693
243,Andrés Couturier,70124268,1,0.014660606949127693
244,Andy Caballero,81021098,1,0.014660606949127693
245,Andy Capper,70261178,1,0.014660606949127693
246,Andy Devonshire,80063224,1,0.014660606949127693
247,Andy Fickman,"70105369,80158976",2,0.029321213898255385
248,Andy Goddard,80134149,1,0.014660606949127693
249,Andy Serkis,80993105,1,0.014660606949127693
250,Andy Tennant,"60022502,70019506,70128696,80120740",4,0.05864242779651077
251,Anees Bazmee,"70187503,70198040,80204460,80223230,81213891",5,0.07330303474563847
252,Ang Lee,60002907,1,0.014660606949127693
253,Angelika Sigl,80135631,1,0.014660606949127693
254,Angelina Jolie,80067522,1,0.014660606949127693
255,Angga Dwimas Sasongko,"81016321,81016322,81016323",3,0.043981820847383085
256,Anggy Umbara,"81037984,81062674",2,0.029321213898255385
257,Anik Datta,81025935,1,0.014660606949127693
258,Anil Sharma,70298393,1,0.014660606949127693
259,Anil Thomas,80998565,1,0.014660606949127693
260,Anil V. Kumar,70007056,1,0.014660606949127693
261,Anindya Chatterjee,81191228,1,0.014660606949127693
262,Anirban Majumder,"81092780,81092781",2,0.029321213898255385
263,Aniruddha Roy Chowdhury,80144448,1,0.014660606949127693
264,Anita Barbosa,80148967,1,0.014660606949127693
265,Anita Udeep,81147278,1,0.014660606949127693
266,Anjali Nayar,80124947,1,0.014660606949127693
267,Anjum Shahzad,81024705,1,0.014660606949127693
268,Ann Deborah Fishman,81060038,1,0.014660606949127693
269,Anna Boden,80038337,1,0.014660606949127693
270,Anne Fletcher,80201490,1,0.014660606949127693
271,Anne Fontaine,"70267398,80098103",2,0.029321213898255385
272,Annie Clark,80027041,1,0.014660606949127693
273,Anthony Abrams,80117736,1,0.014660606949127693
274,Anthony Byrne,80211380,1,0.014660606949127693
275,Anthony Caronna,81009829,1,0.014660606949127693
276,Anthony Chan,80997862,1,0.014660606949127693
277,Anthony D'Souza,"70295762,80108518",2,0.029321213898255385
278,Anthony Giordano,"80117443,80215419",2,0.029321213898255385
279,Anthony Minghella,60000209,1,0.014660606949127693
280,Anthony Palmer,81189396,1,0.014660606949127693
281,Anthony Pierce,80015210,1,0.014660606949127693
282,Anthony Russo,80219127,1,0.014660606949127693
283,Anthony Scott Burns,80096585,1,0.014660606949127693
284,Anthony Veiller,80119189,1,0.014660606949127693
285,Anthony Wonke,80078761,1,0.014660606949127693
286,Antoine Bardou-Jacquet,80046728,1,0.014660606949127693
287,Antoine Fuqua,"60026139,70112494,70259801",3,0.043981820847383085
288,Antoinette Jadaone,"80050106,81010874",2,0.029321213898255385
289,Antongiulio Panizzi,80148275,1,0.014660606949127693
290,Antoni Krauze,81168341,1,0.014660606949127693
291,Antonin Baudry,81027187,1,0.014660606949127693
292,Antonio Campos,80097814,1,0.014660606949127693
293,Antonio Chavarrías,80171982,1,0.014660606949127693
294,Antonio Morabito,80244782,1,0.014660606949127693
295,Antonio Piazza,81039323,1,0.014660606949127693
296,Antonio Serrano,"70003680,80149145",2,0.029321213898255385
297,Anu Menon,"80108386,80990813",2,0.029321213898255385
298,Anubhav Sinha,81154455,1,0.014660606949127693
299,Anurag Basu,"70071832,70219525,80102160,80104130",4,0.05864242779651077
300,Anurag Kashyap,"70113305,70275753,70285730,80115328,80991033,81088083",6,0.08796364169476617
301,Anurag Singh,80032364,1,0.014660606949127693
302,Anuranjan Premji,80994424,1,0.014660606949127693
303,Anusha Rizvi,70129396,1,0.014660606949127693
304,Apoorva Lakhia,"70073018,70109375",2,0.029321213898255385
305,April Mullen,80147321,1,0.014660606949127693
306,Archie Borders,80208906,1,0.014660606949127693
