id,name,show_id,count,percent,director_id
202,Adam Collins,81026667,1,0.002228114346828279,80993684
203,Adam Conover,"80019503,80996949",2,0.004456228693656558,81191195
204,Adam Cooper,60003378,1,0.002228114346828279,80227304
205,Adam Copeland,70177067,1,0.002228114346828279,70124331
206,Adam Crew,80232740,1,0.002228114346828279,80245329
207,Adam David Thompson,"80107948,80174434",2,0.004456228693656558,60036103
208,Adam DeVine,"80117531,80169617",2,0.004456228693656558,80201825
209,Adam Deacon,81069254,1,0.002228114346828279,70013050
210,Adam Demos,80999781,1,0.002228114346828279,81002885
211,Adam Devine,"80057250,80993404",2,0.004456228693656558,80114498
212,Adam DiMarco,"70236016,70306702,80238357",3,0.006684343040484838,81016338
213,Adam Driver,"70257412,80017286,80192018,80223779",4,0.008912457387313116,80096782
214,Adam Eskilden,80117940,1,0.002228114346828279,80160081
215,Adam Faraizl,70206824,1,0.002228114346828279,80108610
216,Adam Ferrara,70109689,1,0.002228114346828279,80234791
217,Adam Garcia,80002999,1,0.002228114346828279,80141338
218,Adam Gardiner,80096545,1,0.002228114346828279,80038442
219,Adam Gazzola,80094603,1,0.002228114346828279,80132601
220,Adam Gibbs,80186926,1,0.002228114346828279,70021631
221,Adam Godley,"70021648,70281022,80208373",3,0.006684343040484838,"80004286,80020131"
222,Adam Goldberg,80064459,1,0.002228114346828279,"404067,60027701"
223,Adam Greydon Reid,70252898,1,0.002228114346828279,80169611
224,Adam Gussow,81077539,1,0.002228114346828279,80173150
225,Adam Hicks,70105338,1,0.002228114346828279,80081990
226,Adam Hochstetter,"80184379,81214214",2,0.004456228693656558,"70043379,70126809,70216819,80017280"
227,Adam Horovitz,80017286,1,0.002228114346828279,80017280
228,Adam Hurtig,80199767,1,0.002228114346828279,81001494
229,Adam James,80097034,1,0.002228114346828279,80036657
230,Adam Jezierski,80235268,1,0.002228114346828279,80087897
231,Adam Lazarre-White,81147293,1,0.002228114346828279,"80015799,80195964"
232,Adam LeFevre,"70128696,80049979",2,0.004456228693656558,80048200
233,Adam Levine,"80168234,80179373",2,0.004456228693656558,80196216
234,Adam Levy,"80036412,80189685",2,0.004456228693656558,81034741
235,Adam Long,80007225,1,0.002228114346828279,70143369
236,Adam Lustick,80996949,1,0.002228114346828279,80167644
237,Adam Mayfield,80201868,1,0.002228114346828279,"80112370,81050118"
238,Adam Moussamih,81029736,1,0.002228114346828279,81228864
239,Adam Nee,80064273,1,0.002228114346828279,60020892
240,Adam Pak,81144516,1,0.002228114346828279,81038976
241,Adam Pally,"80046193,80103734,80105067,80171023,80172002,80221550",6,0.013368686080969677,80022613
242,Adam Powell,70306701,1,0.002228114346828279,80220422
243,Adam Rayner,"70295176,80160346",2,0.004456228693656558,70124268
244,Adam Rose,"70020750,70128696,80997965",3,0.006684343040484838,81021098
245,Adam Rothenberg,"70082264,70270745",2,0.004456228693656558,70261178
